Assembly	[C]omplete BUSCOs	Complete and [S]ingle-copy BUSCOs	Complete and [D]uplicated BUSCOs	[F]ragmented BUSCOs	[M]issing BUSCOs	Name
GCA_000167115.1	1582	1574	8	18	106	Lachancea waltii NCYC 2644 NCYC 2644
GCA_000179355.1	1576	1576	0	15	115	Kluyveromyces aestuarii ATCC 18862 ATCC 18862
GCA_000179415.1	1553	1553	0	34	119	Kluyveromyces wickerhamii UCD 54-210 UCD 54-210
GCA_000181435.1	1620	1538	82	5	81	Saccharomyces cerevisiae YJM789 YJM789
GCA_000182075.2	1545	1477	68	15	146	Saccharomyces cerevisiae M22 M22
GCA_000182095.2	1584	1515	69	10	112	Saccharomyces cerevisiae YPS163 YPS163
GCA_000182115.1	1606	650	956	19	81	Saccharomyces pastorianus Weihenstephan 34/70 Weihenstephan 34/70
GCA_000182175.1	1309	1268	41	131	266	Saccharomyces cerevisiae AWRI1631 AWRI1631
GCA_000182315.2	1625	1550	75	6	75	Saccharomyces cerevisiae JAY291 JAY291
GCA_000182765.2	1607	1600	7	4	95	Candida parapsilosis CDC317
GCA_000182785.1	1580	1573	7	9	117	Komagataella pastoris DSMZ 70382 DSMZ 70382
GCA_000182965.3	1618	1609	9	4	84	Candida albicans SC5314 SC5314
GCA_000187245.3	1565	1563	2	7	134	Ogataea parapolymorpha DL-1 DL-1
GCA_000190195.1	1361	1303	58	48	297	Saccharomyces cerevisiae AWRI796 AWRI796
GCA_000190215.1	1433	1376	57	37	236	Saccharomyces cerevisiae Vin13 Vin13
GCA_000190235.1	1425	1369	56	37	244	Saccharomyces cerevisiae VL3 VL3
GCA_000190255.1	1354	1300	54	55	297	Saccharomyces cerevisiae FostersB FostersB
GCA_000192375.1	854	830	24	211	641	Saccharomyces cerevisiae Y10 Y10
GCA_000192455.1	1440	1368	72	56	210	Saccharomyces cerevisiae CBS 7960 CBS 7960
GCA_000192495.1	1096	1054	42	135	475	Saccharomyces cerevisiae CLIB324 CLIB324
GCA_000192515.1	1460	1394	66	47	199	Saccharomyces cerevisiae YJM269 YJM269
GCA_000192535.1	1167	1110	57	120	419	Saccharomyces cerevisiae FL100 FL100
GCA_000192555.1	1367	1308	59	66	273	Saccharomyces cerevisiae CLIB215 CLIB215
GCA_000209165.1	1648	1645	3	2	56	Scheffersomyces stipitis CBS 6054 CBS 6054
GCA_000209265.1	1576	1508	68	21	109	Saccharomyces cerevisiae PW5 PW5
GCA_000209285.1	1574	1511	63	21	111	Saccharomyces cerevisiae UC5 UC5
GCA_000209305.1	1161	1129	32	144	401	Saccharomyces cerevisiae T73 T73
GCA_000209345.1	305	305	0	398	1003	Saccharomyces cerevisiae CLIB382 CLIB382
GCA_000209365.1	1628	1544	84	5	73	Saccharomyces cerevisiae T7 T7
GCA_000218975.1	1623	1538	85	7	76	Saccharomyces cerevisiae EC1118 Lalvin EC1118
GCA_000223465.1	1609	1606	3	2	95	Yamadazyma tenuis ATCC 10573 ATCC 10573
GCA_000223485.1	1627	1623	4	2	77	Spathaspora passalidarum NRRL Y-27907 NRRL Y-27907
GCA_000223565.1	1598	1592	6	10	98	Komagataella phaffii CBS 7435 CBS 7435
GCA_000227115.2	1608	1549	59	4	94	Naumovozyma dairenensis CBS 421 type strain:CBS 421
GCA_000234495.1	1506	1446	60	19	181	Saccharomyces cerevisiae EC9-8 EC9-8
GCA_000235365.1	1581	1581	0	12	113	Eremothecium cymbalariae DBVPG#7215 DBVPG#7215
GCA_000236905.1	1594	1540	54	4	108	Tetrapisispora phaffii CBS 4417 type strain:CBS 4417
GCA_000237345.1	1618	1530	88	0	88	Naumovozyma castellii CBS 4309 type strain:CBS 4309
GCA_000239015.2	1662	1657	5	2	42	Debaryomyces hansenii var. hansenii MTCC 234 MTCC 234
GCA_000243375.1	1634	1632	2	4	68	Torulaspora delbrueckii type strain:CBS 1146
GCA_000256055.1	580	572	8	184	942	Saccharomyces kudriavzevii FM1056 FM1056
GCA_000256805.1	64	64	0	193	1449	Saccharomyces kudriavzevii FM1073 FM1073
GCA_000256825.1	347	345	2	287	1072	Saccharomyces kudriavzevii FM1071 FM1071
GCA_000256845.1	426	422	4	246	1034	Saccharomyces kudriavzevii FM1072 FM1072
GCA_000256865.1	685	675	10	236	785	Saccharomyces kudriavzevii FM1069 FM1069
GCA_000256885.1	429	427	2	261	1016	Saccharomyces kudriavzevii FM1076 FM1076
GCA_000256905.1	145	145	0	196	1365	Saccharomyces kudriavzevii FM1075 FM1075
GCA_000256925.1	135	132	3	236	1335	Saccharomyces kudriavzevii FM1074 FM1074
GCA_000256985.1	586	578	8	271	849	Saccharomyces kudriavzevii FM1077 FM1077
GCA_000257005.1	480	477	3	296	930	Saccharomyces kudriavzevii FM1078 FM1078
GCA_000257025.1	248	245	3	289	1169	Saccharomyces kudriavzevii FM1079 FM1079
GCA_000257045.1	1181	1139	42	169	356	Saccharomyces kudriavzevii ZP591 ZP591
GCA_000257065.1	1118	1088	30	183	405	Saccharomyces kudriavzevii IFO1803 IFO1803
GCA_000257085.1	776	760	16	236	694	Saccharomyces kudriavzevii IFO10991 IFO10991
GCA_000257105.1	872	850	22	231	603	Saccharomyces kudriavzevii IFO10990 IFO10990
GCA_000259595.1	775	772	3	170	761	Brettanomyces bruxellensis AWRI1499 AWRI1499
GCA_000260735.1	1622	1540	82	4	80	Saccharomyces cerevisiae Kyokai no. 7 Kyokai no. 7
GCA_000269885.1	1625	1546	79	5	76	Saccharomyces cerevisiae CEN.PK113-7D CEN.PK113-7D
GCA_000275665.1	1627	1544	83	3	76	Saccharomyces cerevisiae YJSH1 YJSH1
GCA_000286515.1	1410	1407	3	20	276	Pichia kudriavzevii M12 M12
GCA_000287895.1	1637	247	1390	7	62	Saccharomyces pastorianus CCY48 - 91 CCY48 - 91
GCA_000292725.1	1611	1538	73	5	90	Saccharomyces arboricola H-6 H-6
GCA_000292815.1	1614	1533	81	7	85	Saccharomyces cerevisiae W303 W303
GCA_000299195.2	1612	1610	2	9	85	Kluyveromyces marxianus var. marxianus KCTC 17555 KCTC 17555
GCA_000304155.1	1405	1353	52	108	193	Candida orthopsilosis AY2 AY2
GCA_000304475.1	1587	1536	51	5	114	Kazachstania africana CBS 2517 type strain:CBS 2517
GCA_000308935.1	1619	1539	80	8	79	Saccharomyces cerevisiae ZTW1 ZTW1
GCA_000313485.1	1647	1643	4	4	55	Wickerhamomyces ciferrii NRRL Y-1031 F-60-10
GCA_000313505.1	1625	1619	6	6	75	Pachysolen tannophilus NRRL Y-2460 NRRL Y-2460
GCA_000315875.1	1609	1607	2	4	93	Candida orthopsilosis Co 90-125 Co 90-125
GCA_000315915.1	1534	1494	40	7	165	Tetrapisispora blattae CBS 6284 type strain:CBS 6284
GCA_000317355.2	1486	629	857	34	186	Metschnikowia fructicola 277 277
GCA_000325965.1	1425	1370	55	42	239	Saccharomyces cerevisiae Lalvin QA23 Lalvin QA23
GCA_000326005.1	1276	1218	58	60	370	Saccharomyces cerevisiae FostersO FostersO
GCA_000326105.1	1625	429	1196	7	74	Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7 VIN7
GCA_000328385.1	1584	1557	27	14	108	Cyberlindnera jadinii NBRC 0988 NBRC0988
GCA_000340765.1	1453	1428	25	18	235	Brettanomyces bruxellensis CBS 2499 CBS 2499
GCA_000344705.1	1600	1597	3	9	97	Candida maltosa Xu316
GCA_000348985.1	1570	1517	53	7	129	Kazachstania naganishii CBS 8797 type strain:CBS 8797
GCA_000365045.1	1631	1548	83	2	73	Saccharomyces cerevisiae M3707 M3707
GCA_000365065.1	1629	1543	86	2	75	Saccharomyces cerevisiae M3836 M3836
GCA_000365085.1	1631	1548	83	2	73	Saccharomyces cerevisiae M3837 M3837
GCA_000365105.1	1632	1547	85	2	72	Saccharomyces cerevisiae M3838 M3838
GCA_000365125.1	1629	1545	84	2	75	Saccharomyces cerevisiae M3839 M3839
GCA_000410855.1	1593	1591	2	15	98	Clavispora lusitaniae MTCC 1001 MTCC 1001
GCA_000412225.2	1587	1584	3	11	108	Saccharomycetaceae sp. 'Ashbya aceri'
GCA_000416405.1	1630	1545	85	3	73	Saccharomyces cerevisiae NY1308 NY1308
GCA_000442675.2	1625	1540	85	7	74	Saccharomyces sp. EDRL EDRL
GCA_000442885.1	1635	1632	3	8	63	Zygosaccharomyces bailii CLIB 213 CLIB 213 = CBS 680
GCA_000447455.1	1611	1581	30	4	91	Candida albicans A123 A123
GCA_000447475.1	1614	1587	27	3	89	Candida albicans A92 A92
GCA_000447495.1	1616	1594	22	3	87	Candida albicans A203 A203
GCA_000447515.1	1614	1595	19	3	89	Candida albicans A67 A67
GCA_000447535.1	1612	1576	36	5	89	Candida albicans A48 A48
GCA_000447555.1	1610	1584	26	7	89	Candida albicans CHN1 CHN1
GCA_000447575.1	1616	1591	25	3	87	Candida albicans A20 A20
GCA_000447595.1	1616	1584	32	3	87	Candida albicans 3153A 3153A
GCA_000447615.1	1612	1588	24	4	90	Candida albicans A155 A155
GCA_000447635.1	1614	1587	27	5	87	Candida albicans A84 A84
GCA_000497105.2	1599	1562	37	6	101	[Candida] glabrata CCTCC M202019 CCTCC M202019
GCA_000497715.1	1617	1615	2	3	86	Spathaspora arborariae UFMG-19.1A UFMG-19.1A
GCA_000508805.2	1624	1543	81	6	76	Saccharomyces cerevisiae NAM34-4C NAM34-4C
GCA_000508825.2	1612	1533	79	4	90	Saccharomyces cerevisiae IR-2 IR-2
GCA_000568005.1	1605	1526	79	8	93	Saccharomyces cerevisiae R008 R008
GCA_000568055.1	1557	1485	72	11	138	Saccharomyces cerevisiae P301 P301
GCA_000568295.1	1589	1516	73	11	106	Saccharomyces cerevisiae P283 P283
GCA_000568365.1	1587	1516	71	12	107	Saccharomyces cerevisiae R103 R103
GCA_000576695.1	1604	1601	3	6	96	Kuraishia capsulata CBS 1993 CBS 1993
GCA_000585475.3	1441	1439	2	7	258	Hanseniaspora vineae T02/19AF
GCA_000586535.1	1628	277	1351	9	69	Saccharomyces pastorianus Weihenstephan 34/70 Weihenstephan 34/70
GCA_000586595.1	1624	581	1043	5	77	Saccharomyces pastorianus CBS 1513 CBS 1513
GCA_000590845.2	1566	1560	6	5	135	Yarrowia lipolytica PO1f PO1f
GCA_000613145.2	1582	1575	7	5	119	Yarrowia lipolytica WSH-Z06 WSH-Z06
GCA_000633855.1	1614	1580	34	3	89	Candida tropicalis 121
GCA_000647555.1	1612	1603	9	7	87	Candida dubliniensis UOB319
GCA_000647575.1	1612	1605	7	6	88	Candida dubliniensis UOB320
GCA_000662435.2	1627	1543	84	5	74	Saccharomyces cerevisiae YJM993 YJM993
GCA_000691765.2	1601	1592	9	3	102	Candida albicans Ca529L Ca529L
GCA_000710315.1	1578	1578	0	7	121	Eremothecium coryli CBS 5749 CBS 5749
GCA_000723645.1	1627	1549	78	5	74	Saccharomyces cerevisiae N85 N85
GCA_000732305.1	1311	1275	36	95	300	Saccharomyces uvarum A9
GCA_000733235.3	1622	1541	81	11	73	Saccharomyces cerevisiae UFMG A-905 UFMG A-905
GCA_000734875.3	1618	1507	111	5	83	Saccharomyces sp. 'boulardii' 17
GCA_000747785.1	1618	1615	3	8	80	Kluyveromyces marxianus DMB1
GCA_000755205.1	1629	1626	3	10	67	Meyerozyma caribbica MG20W MG20W
GCA_000756235.1	1314	1284	30	170	222	Saccharomyces cerevisiae UCD51
GCA_000756245.1	1172	1144	28	243	291	Saccharomyces cerevisiae M5 M5
GCA_000764455.1	1351	1293	58	42	313	Pichia kudriavzevii SD108
GCA_000766165.2	1618	1519	99	10	78	Saccharomyces cerevisiae YS9
GCA_000766175.2	1633	1536	97	5	68	Saccharomyces cerevisiae YPS163
GCA_000766185.2	1633	1544	89	4	69	Saccharomyces cerevisiae YJM339
GCA_000766195.2	1633	1552	81	4	69	Saccharomyces cerevisiae YPS128
GCA_000766245.2	1632	1562	70	6	68	Saccharomyces cerevisiae Y55
GCA_000766265.2	1629	1566	63	9	68	Saccharomyces cerevisiae g833-1B
GCA_000766275.2	1629	1538	91	5	72	Saccharomyces cerevisiae DBVPG6044
GCA_000766305.2	1606	1511	95	18	82	Saccharomyces cerevisiae RedStar
GCA_000766315.2	1629	1546	83	6	71	Saccharomyces cerevisiae BC187
GCA_000766375.2	1630	1554	76	5	71	Saccharomyces cerevisiae YPH499
GCA_000766395.2	1620	1550	70	10	76	Saccharomyces cerevisiae FY1679
GCA_000766415.2	1624	1556	68	9	73	Saccharomyces cerevisiae 10560-6B
GCA_000766435.2	1623	1557	66	9	74	Saccharomyces cerevisiae BY4742
GCA_000766455.2	1618	1550	68	14	74	Saccharomyces cerevisiae JK9-3d
GCA_000766475.2	1624	1552	72	8	74	Saccharomyces cerevisiae W303
GCA_000766495.2	1630	1562	68	8	68	Saccharomyces cerevisiae CEN.PK2-1Ca
GCA_000766515.2	1620	1552	68	11	75	Saccharomyces cerevisiae FL100
GCA_000766535.2	1625	1556	69	10	71	Saccharomyces cerevisiae X2180-1A
GCA_000766555.2	1626	1556	70	10	70	Saccharomyces cerevisiae D273-10B
GCA_000766575.2	1623	1554	69	9	74	Saccharomyces cerevisiae BY4741
GCA_000766595.2	1625	1554	71	6	75	Saccharomyces cerevisiae SEY6210
GCA_000766615.2	1630	1539	91	6	70	Saccharomyces cerevisiae L1528
GCA_000766635.2	1618	1550	68	10	78	Saccharomyces cerevisiae RM11-1A
GCA_000767965.1	1631	1550	81	5	70	Saccharomyces cerevisiae K11
GCA_000768095.1	1591	1505	86	20	95	Saccharomyces cerevisiae UWOPS05_217_3
GCA_000769245.1	1626	1543	83	7	73	Saccharomyces sp. 'boulardii' ATCC MYA-796
GCA_000773725.1	1616	1597	19	5	85	Candida albicans P78048 P78048
GCA_000773735.1	1613	1587	26	3	90	Candida albicans GC75 GC75
GCA_000773745.1	1612	1593	19	7	87	Candida albicans P37005 P37005
GCA_000773755.1	1610	1598	12	5	91	Candida albicans P94015 P94015
GCA_000773805.1	1609	1594	15	7	90	Candida albicans P57072 P57072
GCA_000773825.1	1612	1595	17	4	90	Candida albicans P37037 P37037
GCA_000773845.1	1616	1601	15	7	83	Candida albicans 12C 12C
GCA_000773925.1	1628	1542	86	4	74	Saccharomyces cerevisiae 9464
GCA_000774085.1	1619	1600	19	2	85	Candida albicans P87 P87
GCA_000775265.3	972	969	3	29	705	Hanseniaspora uvarum 34-9
GCA_000775445.1	1624	1605	19	1	81	Candida albicans 19F 19F
GCA_000775455.1	1618	1601	17	3	85	Candida albicans L26 L26
GCA_000775465.1	1608	1592	16	2	96	Candida albicans P34048 P34048
GCA_000775505.1	1613	1600	13	4	89	Candida albicans P57055 P57055
GCA_000775525.1	1617	1608	9	3	86	Candida albicans P75063 P75063
GCA_000775555.1	1625	1548	77	7	74	Saccharomyces cerevisiae EBY.VW4000
GCA_000784495.1	1612	1600	12	3	91	Candida albicans P76067 P76067
GCA_000784505.1	1610	1600	10	5	91	Candida albicans P76055 P76055
GCA_000784515.1	1617	1596	21	4	85	Candida albicans P37039 P37039
GCA_000784525.1	1608	1590	18	4	94	Candida albicans P60002 P60002
GCA_000784575.1	1611	1599	12	2	93	Candida albicans P75010 P75010
GCA_000784595.1	1606	1594	12	5	95	Candida albicans P75016 P75016
GCA_000784615.1	1611	1586	25	4	91	Candida albicans P78042 P78042
GCA_000784635.1	1616	1579	37	4	86	Candida albicans SC5314 SC5314
GCA_000784655.1	1616	1576	40	3	87	Candida albicans SC5314 SC5314
GCA_000784695.1	1609	1585	24	3	94	Candida albicans Ca6 Ca6
GCA_000787595.2	1566	1563	3	6	134	Ogataea polymorpha BY4329
GCA_000787615.1	1377	1375	2	25	304	Pichia kudriavzevii NBRC 1279
GCA_000805465.1	1633	229	1404	7	66	Saccharomyces pastorianus CBS 1483
GCA_000817185.1	1518	1507	11	13	175	Magnusiomyces capitatus CNRMA 12.647 CNRMA 12.647
GCA_000820885.1	1608	1605	3	8	90	Kluyveromyces dobzhanskii CBS 2104 CBS 2104
GCA_000938715.1	1638	1637	1	7	61	Lachancea lanzarotensis CBS 12615
GCA_000950655.1	1180	1178	2	36	490	Starmerella bombicola NBRC 10243
GCA_000968475.1	995	983	12	15	696	Hanseniaspora uvarum DSM 2768 DSM 2768
GCA_000968835.1	1585	1583	2	10	111	Eremothecium gossypii FDAG1 FDAG1
GCA_000975585.2	1631	1549	82	3	72	Saccharomyces cerevisiae YJM195 YJM195
GCA_000975615.2	1612	1528	84	4	90	Saccharomyces cerevisiae YJM244 YJM244
GCA_000975645.3	1629	1544	85	5	72	Saccharomyces cerevisiae YJM1078 YJM1078
GCA_000975675.2	1629	1547	82	5	72	Saccharomyces cerevisiae YJM1083 YJM1083
GCA_000975705.2	1627	1543	84	5	74	Saccharomyces cerevisiae YJM1129 YJM1129
GCA_000975735.4	1627	1541	86	5	74	Saccharomyces cerevisiae YJM189 YJM189
GCA_000975765.2	1630	1547	83	5	71	Saccharomyces cerevisiae YJM193 YJM193
GCA_000975795.2	1628	1542	86	5	73	Saccharomyces cerevisiae YJM248 YJM248
GCA_000975825.2	1630	1547	83	5	71	Saccharomyces cerevisiae YJM270 YJM270
GCA_000975855.3	1615	1531	84	6	85	Saccharomyces cerevisiae YJM271 YJM271
GCA_000975885.2	1629	1546	83	3	74	Saccharomyces cerevisiae YJM320 YJM320
GCA_000975915.2	1629	1544	85	4	73	Saccharomyces cerevisiae YJM326 YJM326
GCA_000975945.2	1624	1535	89	5	77	Saccharomyces cerevisiae YJM428 YJM428
GCA_000975975.3	1629	1546	83	4	73	Saccharomyces cerevisiae YJM450 YJM450
GCA_000976005.2	1611	1529	82	4	91	Saccharomyces cerevisiae YJM451 YJM451
GCA_000976035.2	1624	1534	90	7	75	Saccharomyces cerevisiae YJM453 YJM453
GCA_000976065.2	1632	1540	92	2	72	Saccharomyces cerevisiae YJM456 YJM456
GCA_000976095.2	1627	1544	83	5	74	Saccharomyces cerevisiae YJM470 YJM470
GCA_000976125.2	1626	1541	85	4	76	Saccharomyces cerevisiae YJM541 YJM541
GCA_000976155.4	1629	1544	85	3	74	Saccharomyces cerevisiae YJM554 YJM554
GCA_000976185.2	1625	1543	82	6	75	Saccharomyces cerevisiae YJM555 YJM555
GCA_000976215.2	1627	1544	83	4	75	Saccharomyces cerevisiae YJM627 YJM627
GCA_000976245.2	1630	1540	90	4	72	Saccharomyces cerevisiae YJM681 YJM681
GCA_000976275.4	1629	1547	82	4	73	Saccharomyces cerevisiae YJM682 YJM682
GCA_000976305.2	1630	1548	82	2	74	Saccharomyces cerevisiae YJM683 YJM683
GCA_000976335.2	1625	1542	83	4	77	Saccharomyces cerevisiae YJM689 YJM689
GCA_000976365.2	1631	1546	85	4	71	Saccharomyces cerevisiae YJM693 YJM693
GCA_000976395.2	1629	1540	89	4	73	Saccharomyces cerevisiae YJM969 YJM969
GCA_000976425.2	1627	1543	84	5	74	Saccharomyces cerevisiae YJM972 YJM972
GCA_000976455.3	1628	1544	84	5	73	Saccharomyces cerevisiae YJM975 YJM975
GCA_000976485.2	1626	1541	85	5	75	Saccharomyces cerevisiae YJM978 YJM978
GCA_000976515.2	1629	1545	84	5	72	Saccharomyces cerevisiae YJM981 YJM981
GCA_000976545.2	1635	1552	83	3	68	Saccharomyces cerevisiae YJM984 YJM984
GCA_000976575.4	1626	1542	84	5	75	Saccharomyces cerevisiae YJM987 YJM987
GCA_000976605.3	1597	1518	79	4	105	Saccharomyces cerevisiae YJM990 YJM990
GCA_000976665.2	1626	1542	84	5	75	Saccharomyces cerevisiae YJM996 YJM996
GCA_000976695.3	1592	1510	82	3	111	Saccharomyces cerevisiae YJM1133 YJM1133
GCA_000976725.3	1628	1546	82	4	74	Saccharomyces cerevisiae YJM1190 YJM1190
GCA_000976755.2	1629	1546	83	5	72	Saccharomyces cerevisiae YJM1199 YJM1199
GCA_000976785.2	1628	1540	88	5	73	Saccharomyces cerevisiae YJM1202 YJM1202
GCA_000976815.3	1629	1545	84	3	74	Saccharomyces cerevisiae YJM1208 YJM1208
GCA_000976845.3	1626	1541	85	6	74	Saccharomyces cerevisiae YJM1242 YJM1242
GCA_000976875.3	1619	1537	82	7	80	Saccharomyces cerevisiae YJM1244 YJM1244
GCA_000976905.2	1621	1542	79	3	82	Saccharomyces cerevisiae YJM1248 YJM1248
GCA_000976935.2	1633	1533	100	3	70	Saccharomyces cerevisiae YJM1250 YJM1250
GCA_000976965.3	1627	1543	84	5	74	Saccharomyces cerevisiae YJM1252 YJM1252
GCA_000976995.2	1630	1546	84	4	72	Saccharomyces cerevisiae YJM1273 YJM1273
GCA_000977025.2	1627	1540	87	2	77	Saccharomyces cerevisiae YJM1304 YJM1304
GCA_000977055.3	1626	1544	82	6	74	Saccharomyces cerevisiae YJM1307 YJM1307
GCA_000977085.2	1630	1546	84	3	73	Saccharomyces cerevisiae YJM1311 YJM1311
GCA_000977115.3	1630	1547	83	4	72	Saccharomyces cerevisiae YJM1326 YJM1326
GCA_000977145.2	1627	1543	84	5	74	Saccharomyces cerevisiae YJM1332 YJM1332
GCA_000977175.3	1630	1539	91	4	72	Saccharomyces cerevisiae YJM1336 YJM1336
GCA_000977205.2	1629	1545	84	4	73	Saccharomyces cerevisiae YJM1338 YJM1338
GCA_000977235.2	1628	1543	85	6	72	Saccharomyces cerevisiae YJM1341 YJM1341
GCA_000977265.3	1627	1545	82	4	75	Saccharomyces cerevisiae YJM1342 YJM1342
GCA_000977295.2	1627	1526	101	5	74	Saccharomyces cerevisiae YJM1355 YJM1355
GCA_000977325.2	1629	1545	84	4	73	Saccharomyces cerevisiae YJM1356 YJM1356
GCA_000977355.3	1630	1546	84	3	73	Saccharomyces cerevisiae YJM1381 YJM1381
GCA_000977385.2	1629	1545	84	5	72	Saccharomyces cerevisiae YJM1383 YJM1383
GCA_000977415.2	1630	1545	85	2	74	Saccharomyces cerevisiae YJM1385 YJM1385
GCA_000977445.2	1628	1541	87	4	74	Saccharomyces cerevisiae YJM1386 YJM1386
GCA_000977475.3	1626	1541	85	6	74	Saccharomyces cerevisiae YJM1387 YJM1387
GCA_000977505.2	1627	1546	81	5	74	Saccharomyces cerevisiae YJM1388 YJM1388
GCA_000977535.2	1630	1546	84	3	73	Saccharomyces cerevisiae YJM1389 YJM1389
GCA_000977565.2	1630	1531	99	5	71	Saccharomyces cerevisiae YJM1399 YJM1399
GCA_000977595.2	1629	1544	85	3	74	Saccharomyces cerevisiae YJM1400 YJM1400
GCA_000977625.2	1630	1547	83	4	72	Saccharomyces cerevisiae YJM1401 YJM1401
GCA_000977655.2	1628	1544	84	4	74	Saccharomyces cerevisiae YJM1402 YJM1402
GCA_000977685.2	1626	1542	84	6	74	Saccharomyces cerevisiae YJM1415 YJM1415
GCA_000977715.4	1628	1544	84	5	73	Saccharomyces cerevisiae YJM1417 YJM1417
GCA_000977745.2	1631	1547	84	3	72	Saccharomyces cerevisiae YJM1418 YJM1418
GCA_000977775.3	1628	1547	81	4	74	Saccharomyces cerevisiae YJM1419 YJM1419
GCA_000977805.2	1623	1540	83	6	77	Saccharomyces cerevisiae YJM1433 YJM1433
GCA_000977835.2	1630	1545	85	4	72	Saccharomyces cerevisiae YJM1434 YJM1434
GCA_000977865.2	1628	1546	82	3	75	Saccharomyces cerevisiae YJM1439 YJM1439
GCA_000977895.2	1596	1519	77	7	103	Saccharomyces cerevisiae YJM1443 YJM1443
GCA_000977925.2	1612	1531	81	5	89	Saccharomyces cerevisiae YJM1444 YJM1444
GCA_000977955.2	1621	1540	81	8	77	Saccharomyces cerevisiae YJM1447 YJM1447
GCA_000977985.2	1605	1521	84	6	95	Saccharomyces cerevisiae YJM1450 YJM1450
GCA_000978015.2	1614	1531	83	4	88	Saccharomyces cerevisiae YJM1460 YJM1460
GCA_000978045.2	1630	1548	82	5	71	Saccharomyces cerevisiae YJM1463 YJM1463
GCA_000978075.3	1627	1542	85	5	74	Saccharomyces cerevisiae YJM1477 YJM1477
GCA_000978105.2	1630	1541	89	3	73	Saccharomyces cerevisiae YJM1478 YJM1478
GCA_000978135.2	1629	1545	84	3	74	Saccharomyces cerevisiae YJM1479 YJM1479
GCA_000978165.2	1628	1544	84	4	74	Saccharomyces cerevisiae YJM1526 YJM1526
GCA_000978195.2	1627	1543	84	6	73	Saccharomyces cerevisiae YJM1527 YJM1527
GCA_000978225.2	1627	1544	83	5	74	Saccharomyces cerevisiae YJM1549 YJM1549
GCA_000978255.2	1629	1545	84	4	73	Saccharomyces cerevisiae YJM1573 YJM1573
GCA_000978285.2	1610	1531	79	6	90	Saccharomyces cerevisiae YJM1574 YJM1574
GCA_000978315.2	1625	1541	84	3	78	Saccharomyces cerevisiae YJM1592 YJM1592
GCA_000978345.2	1629	1530	99	3	74	Saccharomyces cerevisiae YJM1615 YJM1615
GCA_000982555.2	1608	1606	2	3	95	Candida parapsilosis CBS6318
GCA_000982675.1	1606	1604	2	3	97	Candida parapsilosis GA1
GCA_001005365.1	1387	1187	200	3	316	Candida sp. LDI48194 LDI48194
GCA_001005415.1	1169	1167	2	36	501	Starmerella apicola NRRL Y-50540
